,IdM,NombreM,DescripcionM,EstadoM
1543,M00001544,Artes,Tenetur incidunt cumque earum eligendi minima.,Activo
1544,M00001545,Educación SocioEmocional,In optio hic harum labore architecto.,Inactivo
1545,M00001546,Educación SocioEmocional,Quis dolore doloribus molestias delectus fuga.,Inactivo
1546,M00001547,Lenguaje y Comunicación,Rem ea corporis sequi numquam nemo animi cum.,Inactivo
1547,M00001548,Educación SocioEmocional,Odit minima doloremque non.,Activo
1548,M00001549,Educación SocioEmocional,Sint quisquam commodi beatae.,Activo
1549,M00001550,Pensamiento Matemáico,Inventore eveniet exercitationem molestiae maiores esse culpa.,Activo
1550,M00001551,Educación Fisica,Praesentium asperiores velit molestias a tenetur in.,Activo
1551,M00001552,Lenguaje y Comunicación,Omnis facere dolor assumenda dolore.,Inactivo
1552,M00001553,Lenguaje y Comunicación,Cum aspernatur culpa et.,Activo
1553,M00001554,Pensamiento Matemáico,Modi aliquam a voluptates molestiae saepe temporibus.,Inactivo
1554,M00001555,Educación Fisica,Placeat quas saepe molestias illum earum.,Inactivo
1555,M00001556,Educación SocioEmocional,Nostrum impedit eaque quis illum atque.,Activo
1556,M00001557,Exploración y Comprensión del mundo natural y social,Ipsa modi unde nam eos.,Activo
1557,M00001558,Pensamiento Matemáico,Nihil reiciendis ab doloremque laboriosam quas saepe.,Activo
1558,M00001559,Educación Fisica,Minima earum repellat similique ipsum vitae.,Activo
1559,M00001560,Educación Fisica,Sequi dolore veniam provident nulla amet.,Activo
1560,M00001561,Artes,Molestias impedit nesciunt dolorem.,Inactivo
1561,M00001562,Artes,Aliquam illum eius iusto delectus consectetur.,Activo
1562,M00001563,Educación SocioEmocional,Ipsa illum odit aspernatur aliquam nulla.,Activo
1563,M00001564,Educación Fisica,Mollitia non hic ipsam.,Inactivo
1564,M00001565,Educación SocioEmocional,Beatae veniam impedit delectus dolorum maxime.,Activo
1565,M00001566,Artes,Possimus nesciunt necessitatibus tempora amet.,Activo
1566,M00001567,Educación Fisica,Rerum architecto voluptatibus ullam cumque assumenda deserunt.,Inactivo
1567,M00001568,Educación SocioEmocional,Voluptas voluptatum quibusdam facere ullam ad.,Activo
1568,M00001569,Educación Fisica,Maxime nemo mollitia tempore reprehenderit.,Activo
1569,M00001570,Artes,Consequuntur nihil eos magnam impedit modi.,Activo
1570,M00001571,Educación Fisica,Ad perspiciatis possimus quia ad.,Inactivo
1571,M00001572,Pensamiento Matemáico,Doloribus mollitia recusandae adipisci.,Inactivo
1572,M00001573,Educación SocioEmocional,Non deserunt exercitationem ipsam.,Activo
1573,M00001574,Exploración y Comprensión del mundo natural y social,Ex numquam eveniet nam commodi laudantium quam.,Activo
1574,M00001575,Lenguaje y Comunicación,Natus in perspiciatis alias.,Inactivo
1575,M00001576,Educación Fisica,Nesciunt tenetur ut eum quibusdam debitis ratione.,Inactivo
1576,M00001577,Educación Fisica,Voluptatibus assumenda necessitatibus quasi commodi.,Activo
1577,M00001578,Exploración y Comprensión del mundo natural y social,Cupiditate quas odit in.,Activo
1578,M00001579,Educación Fisica,Commodi labore maiores perferendis.,Activo
1579,M00001580,Artes,Totam aut quod ipsam velit veniam blanditiis.,Inactivo
1580,M00001581,Lenguaje y Comunicación,Debitis placeat sint velit.,Inactivo
1581,M00001582,Exploración y Comprensión del mundo natural y social,Labore iure quod repellendus provident quisquam.,Activo
1582,M00001583,Educación SocioEmocional,Tenetur maiores est reiciendis non vel accusantium.,Activo
1583,M00001584,Lenguaje y Comunicación,Provident veniam assumenda iste optio voluptatem porro.,Activo
1584,M00001585,Artes,Maxime iste delectus repellendus illo non.,Activo
1585,M00001586,Lenguaje y Comunicación,Accusamus asperiores quia asperiores minus expedita similique expedita.,Activo
1586,M00001587,Pensamiento Matemáico,Fuga consequuntur quis facilis modi ut.,Inactivo
1587,M00001588,Educación Fisica,Fugit maxime quidem doloribus perferendis quasi.,Activo
1588,M00001589,Lenguaje y Comunicación,Sint impedit dicta porro iusto voluptatibus.,Inactivo
1589,M00001590,Artes,Omnis distinctio quia pariatur possimus reprehenderit eveniet.,Activo
1590,M00001591,Lenguaje y Comunicación,Occaecati doloribus et molestiae nam et quas.,Inactivo
1591,M00001592,Lenguaje y Comunicación,Ipsam reprehenderit a corporis atque rerum.,Inactivo
1592,M00001593,Educación Fisica,Cumque ut vitae fugit id unde repellat.,Inactivo
1593,M00001594,Exploración y Comprensión del mundo natural y social,Soluta temporibus perferendis amet pariatur nihil.,Inactivo
1594,M00001595,Lenguaje y Comunicación,Error modi voluptatum.,Activo
1595,M00001596,Exploración y Comprensión del mundo natural y social,Est sint praesentium modi voluptas tempora error.,Inactivo
1596,M00001597,Exploración y Comprensión del mundo natural y social,Minus praesentium vero quae commodi.,Inactivo
1597,M00001598,Educación SocioEmocional,Totam dolore nobis quis possimus rem esse.,Inactivo
1598,M00001599,Pensamiento Matemáico,Maxime et soluta.,Activo
1599,M00001600,Lenguaje y Comunicación,Asperiores culpa voluptates ipsum reprehenderit error corporis ut.,Activo
1600,M00001601,Exploración y Comprensión del mundo natural y social,Facilis nemo nihil aut saepe pariatur.,Activo
1601,M00001602,Exploración y Comprensión del mundo natural y social,Voluptates non possimus doloremque cum adipisci.,Activo
1602,M00001603,Educación Fisica,Nemo dignissimos doloremque eaque ab alias minima.,Inactivo
1603,M00001604,Artes,Earum dolor accusantium facere minima.,Inactivo
1604,M00001605,Educación SocioEmocional,Ipsum pariatur omnis iusto voluptatem omnis vero.,Activo
1605,M00001606,Lenguaje y Comunicación,Animi illum sint corrupti voluptatibus consequatur.,Inactivo
1606,M00001607,Artes,Nostrum id perferendis.,Activo
1607,M00001608,Artes,Pariatur corporis accusamus ut.,Activo
1608,M00001609,Educación Fisica,Temporibus molestias nobis tenetur tempore quos.,Inactivo
1609,M00001610,Pensamiento Matemáico,Similique saepe temporibus deserunt corrupti.,Activo
1610,M00001611,Lenguaje y Comunicación,Autem odit veniam beatae.,Inactivo
1611,M00001612,Artes,Alias autem molestiae illo ullam repellendus repudiandae.,Activo
1612,M00001613,Educación SocioEmocional,Quis ab quisquam atque sunt.,Inactivo
1613,M00001614,Pensamiento Matemáico,Dignissimos nobis earum corporis corporis amet.,Activo
1614,M00001615,Educación Fisica,Ipsa illum minus dolor aliquid doloribus doloribus.,Inactivo
1615,M00001616,Educación SocioEmocional,Aliquid sint cupiditate alias.,Inactivo
1616,M00001617,Artes,Corrupti molestias quo perferendis.,Inactivo
1617,M00001618,Exploración y Comprensión del mundo natural y social,Deleniti repellendus dicta laborum quaerat atque reprehenderit.,Inactivo
1618,M00001619,Educación SocioEmocional,Minus mollitia illum incidunt vitae.,Activo
1619,M00001620,Educación SocioEmocional,Dolorem molestiae iusto nobis recusandae mollitia eos.,Inactivo
1620,M00001621,Artes,Enim voluptatum labore.,Inactivo
1621,M00001622,Lenguaje y Comunicación,Dolorem numquam distinctio eos sunt nisi minima dolorem.,Inactivo
1622,M00001623,Exploración y Comprensión del mundo natural y social,At quos facere ipsum fugiat illum.,Inactivo
1623,M00001624,Pensamiento Matemáico,Facere id laudantium sunt recusandae minima vel maxime.,Inactivo
1624,M00001625,Exploración y Comprensión del mundo natural y social,Quibusdam asperiores beatae minus voluptates nobis animi magnam.,Activo
1625,M00001626,Educación Fisica,Fuga tempore quis possimus.,Activo
1626,M00001627,Educación Fisica,Consequatur vero sequi totam delectus.,Activo
1627,M00001628,Educación SocioEmocional,Ipsum porro beatae expedita voluptatem harum repudiandae.,Activo
1628,M00001629,Exploración y Comprensión del mundo natural y social,Ratione eius sequi voluptatem est.,Inactivo
1629,M00001630,Pensamiento Matemáico,Consequuntur quibusdam nostrum incidunt tempora odio et.,Inactivo
1630,M00001631,Exploración y Comprensión del mundo natural y social,Earum libero iusto nulla.,Activo
1631,M00001632,Educación SocioEmocional,Expedita dolore illo reiciendis consectetur natus commodi.,Activo
1632,M00001633,Pensamiento Matemáico,Nobis est deserunt corrupti rerum.,Inactivo
1633,M00001634,Exploración y Comprensión del mundo natural y social,Laudantium ullam vitae quos autem aspernatur adipisci minima.,Activo
1634,M00001635,Lenguaje y Comunicación,Facilis tenetur soluta rem cum ipsa.,Inactivo
1635,M00001636,Educación SocioEmocional,Quasi eligendi placeat id minima consequuntur.,Activo
1636,M00001637,Lenguaje y Comunicación,Veniam rem ab sapiente minima.,Activo
1637,M00001638,Pensamiento Matemáico,Cupiditate explicabo ut nisi.,Activo
1638,M00001639,Educación Fisica,Quis temporibus at accusamus est dolorem dolorum.,Activo
1639,M00001640,Lenguaje y Comunicación,Ex illum dolorum at voluptatem.,Activo
1640,M00001641,Pensamiento Matemáico,Eaque non fuga sed quos harum rerum.,Activo
1641,M00001642,Artes,Incidunt aut error.,Inactivo
1642,M00001643,Lenguaje y Comunicación,Expedita omnis recusandae beatae.,Inactivo
1643,M00001644,Lenguaje y Comunicación,Reiciendis officiis atque laudantium aspernatur a eaque.,Inactivo
1644,M00001645,Lenguaje y Comunicación,Eum autem saepe error molestiae.,Activo
1645,M00001646,Artes,Ipsum ratione maiores nisi.,Activo
1646,M00001647,Pensamiento Matemáico,Pariatur repellat minus possimus blanditiis magnam.,Activo
1647,M00001648,Pensamiento Matemáico,Natus iure inventore itaque non iste.,Activo
1648,M00001649,Educación Fisica,Odio iure sapiente.,Activo
1649,M00001650,Artes,Placeat expedita expedita.,Inactivo
1650,M00001651,Educación Fisica,Illo facere doloribus dolores odit laudantium exercitationem.,Inactivo
1651,M00001652,Pensamiento Matemáico,Porro id atque saepe.,Inactivo
1652,M00001653,Educación Fisica,Ullam ducimus laudantium distinctio minus.,Activo
1653,M00001654,Pensamiento Matemáico,Iste delectus atque vero maiores voluptates nobis assumenda.,Inactivo
1654,M00001655,Exploración y Comprensión del mundo natural y social,Alias dolor deleniti possimus consequatur cum.,Activo
1655,M00001656,Exploración y Comprensión del mundo natural y social,Cumque molestias eaque dolorem corporis perferendis.,Inactivo
1656,M00001657,Educación SocioEmocional,Provident totam officiis esse laboriosam expedita adipisci.,Activo
1657,M00001658,Educación SocioEmocional,Iste possimus ipsum dolorum quae.,Inactivo
1658,M00001659,Pensamiento Matemáico,Et minus dignissimos earum reprehenderit.,Activo
1659,M00001660,Educación SocioEmocional,Perferendis libero nihil sit expedita.,Inactivo
1660,M00001661,Artes,Blanditiis non ullam rem temporibus voluptatem consequatur omnis.,Inactivo
1661,M00001662,Educación SocioEmocional,Quos molestiae dolor maxime quidem libero voluptates.,Inactivo
1662,M00001663,Educación Fisica,Quidem tempore alias voluptatem.,Activo
1663,M00001664,Lenguaje y Comunicación,Nihil sunt quisquam consequatur nostrum consequatur.,Inactivo
1664,M00001665,Lenguaje y Comunicación,Ducimus explicabo perferendis magnam aut in consequuntur.,Activo
1665,M00001666,Educación SocioEmocional,Alias tenetur aspernatur dolores.,Activo
1666,M00001667,Pensamiento Matemáico,Molestias ratione natus minima tempore rerum neque.,Inactivo
1667,M00001668,Pensamiento Matemáico,Odio saepe laboriosam porro iusto.,Inactivo
1668,M00001669,Lenguaje y Comunicación,Quam aut cumque odit eaque eius ab.,Inactivo
1669,M00001670,Lenguaje y Comunicación,Necessitatibus dolores incidunt enim odit beatae fugiat.,Activo
1670,M00001671,Educación Fisica,Quos occaecati incidunt.,Inactivo
1671,M00001672,Artes,Itaque officia eius facilis nihil quos.,Inactivo
1672,M00001673,Exploración y Comprensión del mundo natural y social,Sapiente officia tempore dignissimos.,Activo
1673,M00001674,Pensamiento Matemáico,Quibusdam voluptate incidunt culpa commodi rerum.,Activo
1674,M00001675,Artes,Odio corrupti facilis minima repellat laboriosam error.,Activo
1675,M00001676,Artes,Delectus id natus soluta.,Activo
1676,M00001677,Exploración y Comprensión del mundo natural y social,Enim consectetur ratione aperiam excepturi.,Activo
1677,M00001678,Educación Fisica,Neque possimus necessitatibus blanditiis quasi nam.,Activo
1678,M00001679,Artes,Adipisci reprehenderit dolore.,Inactivo
1679,M00001680,Artes,Cupiditate quaerat harum.,Inactivo
1680,M00001681,Lenguaje y Comunicación,Excepturi earum ipsum totam perferendis quibusdam nisi.,Activo
1681,M00001682,Exploración y Comprensión del mundo natural y social,Recusandae ipsam reiciendis veritatis voluptates expedita dolorum excepturi.,Inactivo
1682,M00001683,Lenguaje y Comunicación,Fuga sint ad reiciendis.,Activo
1683,M00001684,Educación SocioEmocional,Reprehenderit enim animi.,Activo
1684,M00001685,Pensamiento Matemáico,Veritatis beatae quos error libero assumenda porro.,Inactivo
1685,M00001686,Educación SocioEmocional,Quia quia quasi illo incidunt maxime ab.,Activo
1686,M00001687,Educación SocioEmocional,Maiores cum dicta corrupti doloremque odio.,Inactivo
1687,M00001688,Artes,Provident totam beatae alias ipsum corporis.,Activo
1688,M00001689,Educación Fisica,Aut cumque sit hic.,Inactivo
1689,M00001690,Artes,Ea modi iusto.,Activo
1690,M00001691,Artes,Quo vel odit.,Inactivo
1691,M00001692,Exploración y Comprensión del mundo natural y social,Laudantium eos officiis molestias quod libero sequi.,Inactivo
1692,M00001693,Educación SocioEmocional,Velit praesentium rem ducimus totam laboriosam quo.,Inactivo
1693,M00001694,Lenguaje y Comunicación,Corrupti at laboriosam quas ipsa culpa.,Activo
1694,M00001695,Artes,Aperiam minima delectus sit.,Inactivo
1695,M00001696,Exploración y Comprensión del mundo natural y social,Optio consectetur delectus mollitia eum.,Activo
1696,M00001697,Pensamiento Matemáico,Sapiente nisi velit reiciendis dicta neque.,Activo
1697,M00001698,Exploración y Comprensión del mundo natural y social,Minus dignissimos tenetur architecto officia cumque.,Inactivo
1698,M00001699,Lenguaje y Comunicación,Rerum excepturi nulla explicabo.,Inactivo
1699,M00001700,Pensamiento Matemáico,Assumenda molestias odit qui velit.,Activo
1700,M00001701,Educación SocioEmocional,Rerum eos similique deserunt unde aperiam.,Inactivo
1701,M00001702,Lenguaje y Comunicación,Quasi ipsa fuga.,Activo
1702,M00001703,Educación Fisica,Odio pariatur alias nostrum amet voluptatum quibusdam.,Inactivo
1703,M00001704,Lenguaje y Comunicación,Unde placeat illum soluta.,Inactivo
1704,M00001705,Educación SocioEmocional,Fugiat nisi deserunt repudiandae asperiores voluptate nihil aliquid.,Inactivo
1705,M00001706,Educación Fisica,Consequatur maxime sint cum accusamus numquam commodi.,Activo
1706,M00001707,Exploración y Comprensión del mundo natural y social,Ratione esse ut consectetur qui.,Inactivo
1707,M00001708,Pensamiento Matemáico,Aliquam pariatur eaque facere officiis ab.,Inactivo
1708,M00001709,Exploración y Comprensión del mundo natural y social,Molestiae laboriosam quam corrupti.,Inactivo
1709,M00001710,Exploración y Comprensión del mundo natural y social,Possimus ratione omnis.,Inactivo
1710,M00001711,Educación SocioEmocional,Deleniti eaque doloremque quisquam.,Inactivo
1711,M00001712,Pensamiento Matemáico,Quidem a esse assumenda tempora nemo placeat.,Inactivo
1712,M00001713,Educación SocioEmocional,Ab reprehenderit nisi quaerat fugiat consequatur.,Activo
1713,M00001714,Pensamiento Matemáico,Nostrum quibusdam sint eveniet vitae.,Inactivo
1714,M00001715,Artes,Eius illum libero iure rerum laboriosam a atque.,Activo
1715,M00001716,Pensamiento Matemáico,Doloribus vel deleniti eaque excepturi non dolores molestias.,Activo
1716,M00001717,Artes,Molestias hic nam deserunt.,Activo
1717,M00001718,Educación SocioEmocional,Voluptatum mollitia quia dolores aperiam.,Activo
1718,M00001719,Educación SocioEmocional,Id dolore provident vel sit.,Inactivo
1719,M00001720,Lenguaje y Comunicación,Corrupti nam fuga eius.,Activo
1720,M00001721,Pensamiento Matemáico,Sapiente adipisci ut.,Inactivo
1721,M00001722,Pensamiento Matemáico,Doloremque blanditiis cum.,Activo
1722,M00001723,Educación Fisica,Perferendis facere ducimus ab eaque quidem.,Inactivo
1723,M00001724,Lenguaje y Comunicación,Minus sit animi aliquid impedit.,Inactivo
1724,M00001725,Educación SocioEmocional,Beatae consequatur excepturi tempore omnis totam facere.,Activo
1725,M00001726,Exploración y Comprensión del mundo natural y social,Odio dolores modi placeat blanditiis itaque.,Inactivo
1726,M00001727,Artes,Doloremque quasi necessitatibus recusandae aut.,Activo
1727,M00001728,Pensamiento Matemáico,Sapiente eveniet ipsa vitae est assumenda fugiat.,Activo
1728,M00001729,Pensamiento Matemáico,Consequuntur quisquam dicta aperiam asperiores quibusdam.,Inactivo
1729,M00001730,Lenguaje y Comunicación,Laudantium repellat aspernatur illo.,Activo
1730,M00001731,Exploración y Comprensión del mundo natural y social,Architecto omnis autem dolorum excepturi.,Inactivo
1731,M00001732,Lenguaje y Comunicación,Cum voluptatibus enim deleniti quod iure voluptatum.,Activo
1732,M00001733,Pensamiento Matemáico,Nulla hic voluptates provident nihil.,Activo
1733,M00001734,Educación SocioEmocional,Id quidem unde tempora eveniet.,Activo
1734,M00001735,Lenguaje y Comunicación,Iusto illum itaque occaecati ipsum vero.,Inactivo
1735,M00001736,Exploración y Comprensión del mundo natural y social,Officiis sint illo odit qui similique fuga.,Inactivo
1736,M00001737,Artes,Eos at officiis.,Activo
1737,M00001738,Lenguaje y Comunicación,Culpa accusantium tempore dolorem.,Activo
1738,M00001739,Educación SocioEmocional,Voluptatem nisi error ab perspiciatis totam consectetur.,Activo
1739,M00001740,Artes,Iure sit impedit maiores soluta mollitia porro amet.,Activo
1740,M00001741,Educación Fisica,Nesciunt eveniet quae.,Inactivo
1741,M00001742,Lenguaje y Comunicación,Incidunt placeat voluptatem ea asperiores consequuntur ipsa.,Inactivo
1742,M00001743,Educación Fisica,Quam esse magnam necessitatibus nisi.,Inactivo
1743,M00001744,Artes,Repudiandae quis doloribus quae suscipit.,Inactivo
1744,M00001745,Pensamiento Matemáico,Adipisci aliquam tempora distinctio.,Activo
1745,M00001746,Educación SocioEmocional,Illum temporibus mollitia molestiae aliquam.,Activo
1746,M00001747,Educación SocioEmocional,Maiores commodi consectetur quas.,Inactivo
1747,M00001748,Educación SocioEmocional,Totam eius temporibus voluptatum.,Activo
1748,M00001749,Lenguaje y Comunicación,Itaque officiis optio illo.,Activo
1749,M00001750,Exploración y Comprensión del mundo natural y social,Magnam saepe velit maxime accusamus perferendis sequi.,Inactivo
1750,M00001751,Artes,Tempora optio cupiditate illum corrupti.,Inactivo
1751,M00001752,Pensamiento Matemáico,Dolore nulla commodi ad veritatis.,Inactivo
1752,M00001753,Educación Fisica,Minus dignissimos reprehenderit aspernatur praesentium soluta aut a.,Inactivo
1753,M00001754,Educación SocioEmocional,Atque fuga eius quam nostrum omnis maiores.,Activo
1754,M00001755,Educación SocioEmocional,Distinctio modi omnis quaerat provident doloribus occaecati.,Activo
1755,M00001756,Lenguaje y Comunicación,Labore fugit culpa ut ducimus fugit.,Inactivo
1756,M00001757,Artes,Repellat ab non similique dolorem.,Activo
1757,M00001758,Artes,Atque pariatur eum reiciendis impedit natus.,Activo
1758,M00001759,Artes,Consectetur reiciendis ratione.,Inactivo
1759,M00001760,Pensamiento Matemáico,Consequatur laborum molestiae doloremque.,Inactivo
1760,M00001761,Artes,Soluta nobis inventore iusto eveniet repellendus.,Inactivo
1761,M00001762,Pensamiento Matemáico,Quasi inventore tempore nemo cum.,Inactivo
1762,M00001763,Artes,Ratione impedit nesciunt similique.,Inactivo
1763,M00001764,Lenguaje y Comunicación,Maxime nemo doloribus corporis iure.,Inactivo
1764,M00001765,Educación SocioEmocional,Tenetur labore similique optio ipsum fugit.,Activo
1765,M00001766,Pensamiento Matemáico,Necessitatibus iusto enim animi.,Activo
1766,M00001767,Exploración y Comprensión del mundo natural y social,Repellendus occaecati dolore dolorem.,Activo
1767,M00001768,Exploración y Comprensión del mundo natural y social,Repellendus dicta molestias necessitatibus ullam nemo rem.,Activo
1768,M00001769,Lenguaje y Comunicación,Et ea enim beatae corporis sapiente.,Activo
1769,M00001770,Pensamiento Matemáico,Nemo exercitationem nobis necessitatibus aut ad.,Activo
1770,M00001771,Educación SocioEmocional,Reiciendis similique necessitatibus voluptatibus inventore commodi.,Activo
1771,M00001772,Educación Fisica,Inventore corrupti nostrum quibusdam quae ut.,Activo
1772,M00001773,Educación SocioEmocional,Nemo assumenda temporibus dignissimos exercitationem fugiat.,Inactivo
1773,M00001774,Artes,Similique iure perspiciatis tempora.,Inactivo
1774,M00001775,Lenguaje y Comunicación,Sint fugit veniam.,Activo
1775,M00001776,Educación SocioEmocional,Tempora sit quos praesentium explicabo.,Inactivo
1776,M00001777,Artes,Nobis vitae officia veniam.,Activo
1777,M00001778,Educación Fisica,Nobis similique adipisci recusandae quas aut nemo minima.,Inactivo
1778,M00001779,Artes,Esse suscipit omnis nemo aperiam.,Activo
1779,M00001780,Educación Fisica,Earum facere tempora provident consectetur a officia.,Activo
1780,M00001781,Exploración y Comprensión del mundo natural y social,Accusantium incidunt quod.,Activo
1781,M00001782,Artes,Provident doloremque vero harum quibusdam quaerat.,Activo
1782,M00001783,Artes,Voluptatibus facilis voluptas est beatae suscipit id aliquam.,Activo
1783,M00001784,Artes,Consequuntur beatae enim repellat rem.,Activo
1784,M00001785,Educación Fisica,Quis culpa necessitatibus accusantium laborum soluta.,Inactivo
1785,M00001786,Educación SocioEmocional,Ut sapiente eveniet officiis recusandae corporis.,Activo
1786,M00001787,Educación SocioEmocional,Totam voluptatem quod ipsam fuga non.,Inactivo
1787,M00001788,Educación Fisica,Enim saepe fugiat sapiente.,Inactivo
1788,M00001789,Lenguaje y Comunicación,Accusamus repudiandae in maxime.,Inactivo
1789,M00001790,Pensamiento Matemáico,Nobis placeat maiores quos excepturi itaque iure maiores.,Activo
1790,M00001791,Educación SocioEmocional,Quas soluta explicabo quas distinctio nam blanditiis.,Activo
1791,M00001792,Artes,Ipsum consequuntur dolorem distinctio earum maxime voluptatum.,Inactivo
1792,M00001793,Lenguaje y Comunicación,Laudantium reiciendis maxime fuga fugiat.,Inactivo
1793,M00001794,Educación SocioEmocional,Dolorem nostrum quos odio qui culpa labore.,Activo
1794,M00001795,Artes,Minima maxime rem velit porro.,Activo
1795,M00001796,Pensamiento Matemáico,Deserunt cum pariatur nesciunt dolor rem.,Activo
1796,M00001797,Pensamiento Matemáico,Quisquam expedita repellendus quas nihil.,Activo
1797,M00001798,Pensamiento Matemáico,Voluptatem ex ea quo atque veniam esse suscipit.,Inactivo
1798,M00001799,Lenguaje y Comunicación,Aspernatur amet iste sapiente expedita.,Activo
1799,M00001800,Exploración y Comprensión del mundo natural y social,Reprehenderit dolore numquam perferendis.,Activo
1800,M00001801,Pensamiento Matemáico,Asperiores itaque tenetur facilis nostrum.,Activo
1801,M00001802,Pensamiento Matemáico,Eum deserunt aliquid impedit.,Activo
1802,M00001803,Artes,Reprehenderit unde a numquam.,Inactivo
1803,M00001804,Educación SocioEmocional,Optio nobis dolor adipisci assumenda.,Activo
1804,M00001805,Artes,Voluptate culpa voluptatum ducimus amet possimus numquam iure.,Activo
1805,M00001806,Artes,Qui odio occaecati incidunt animi rem nesciunt.,Activo
1806,M00001807,Pensamiento Matemáico,Velit eos sapiente cumque totam.,Activo
1807,M00001808,Lenguaje y Comunicación,Facilis rerum officiis suscipit voluptas.,Activo
1808,M00001809,Educación SocioEmocional,Deleniti non et eum ea.,Inactivo
1809,M00001810,Educación SocioEmocional,Ab ex eius ab consequatur nam.,Activo
1810,M00001811,Exploración y Comprensión del mundo natural y social,Officia temporibus distinctio qui ab magnam ex.,Inactivo
1811,M00001812,Pensamiento Matemáico,Blanditiis dolorem error rerum.,Inactivo
1812,M00001813,Educación Fisica,Sint nesciunt perspiciatis.,Activo
1813,M00001814,Pensamiento Matemáico,Minus id ratione accusantium alias voluptates voluptas repudiandae.,Activo
1814,M00001815,Artes,Cumque neque maxime quam error quae.,Activo
1815,M00001816,Educación SocioEmocional,Iste reiciendis iste amet voluptatibus facere.,Inactivo
1816,M00001817,Pensamiento Matemáico,Deserunt quae debitis fugiat quos.,Inactivo
1817,M00001818,Exploración y Comprensión del mundo natural y social,Mollitia consectetur iusto minus.,Activo
1818,M00001819,Pensamiento Matemáico,Officia amet consectetur.,Activo
1819,M00001820,Artes,Quae iusto aspernatur distinctio.,Inactivo
1820,M00001821,Educación SocioEmocional,Totam provident maiores tempora.,Activo
1821,M00001822,Artes,Voluptates rem ut magni placeat id.,Activo
1822,M00001823,Exploración y Comprensión del mundo natural y social,Reprehenderit adipisci ullam nisi aperiam natus iste.,Inactivo
1823,M00001824,Educación SocioEmocional,Ipsam expedita excepturi esse culpa eum.,Activo
1824,M00001825,Educación SocioEmocional,Ratione excepturi veritatis explicabo doloribus.,Inactivo
1825,M00001826,Educación SocioEmocional,Quisquam facilis enim quod doloremque rem asperiores.,Activo
1826,M00001827,Educación SocioEmocional,Eos maiores architecto laborum eligendi eligendi.,Activo
1827,M00001828,Pensamiento Matemáico,Sapiente et ducimus beatae.,Inactivo
1828,M00001829,Exploración y Comprensión del mundo natural y social,Quos quas cupiditate sint quam aut.,Activo
1829,M00001830,Educación SocioEmocional,Sunt voluptates adipisci magni laudantium optio.,Activo
1830,M00001831,Exploración y Comprensión del mundo natural y social,Ex assumenda esse quos praesentium.,Inactivo
1831,M00001832,Lenguaje y Comunicación,Odio quo repellendus voluptatem odit dolores.,Inactivo
1832,M00001833,Pensamiento Matemáico,Deserunt explicabo aliquid corrupti est eum.,Activo
1833,M00001834,Artes,Rerum debitis neque nulla nihil nihil eos.,Inactivo
1834,M00001835,Exploración y Comprensión del mundo natural y social,Quidem blanditiis earum doloremque culpa eum.,Activo
1835,M00001836,Lenguaje y Comunicación,Dolor cupiditate dignissimos quo laudantium accusamus quas.,Inactivo
1836,M00001837,Exploración y Comprensión del mundo natural y social,Porro doloribus sit maiores.,Activo
1837,M00001838,Educación SocioEmocional,Deserunt mollitia eaque.,Inactivo
1838,M00001839,Exploración y Comprensión del mundo natural y social,Voluptates nisi alias accusantium iusto dignissimos.,Inactivo
1839,M00001840,Exploración y Comprensión del mundo natural y social,Earum odio est quo.,Activo
1840,M00001841,Lenguaje y Comunicación,Neque totam praesentium.,Activo
1841,M00001842,Exploración y Comprensión del mundo natural y social,Corrupti vero deleniti quaerat dicta.,Inactivo
1842,M00001843,Pensamiento Matemáico,Enim iusto et optio impedit nemo facilis esse.,Activo
1843,M00001844,Exploración y Comprensión del mundo natural y social,Doloremque fugit esse veritatis nam aut.,Activo
1844,M00001845,Exploración y Comprensión del mundo natural y social,Ad eveniet dignissimos vel.,Inactivo
1845,M00001846,Pensamiento Matemáico,Ipsa officiis id.,Inactivo
1846,M00001847,Artes,Laudantium rem a doloremque libero sequi.,Inactivo
1847,M00001848,Educación Fisica,Maiores molestiae quas accusantium totam.,Activo
1848,M00001849,Artes,Nostrum iste corporis alias saepe.,Inactivo
1849,M00001850,Pensamiento Matemáico,Aut sint aliquam.,Activo
1850,M00001851,Educación Fisica,Aut odio exercitationem earum amet ipsum.,Inactivo
1851,M00001852,Pensamiento Matemáico,Sunt et ipsa amet quis nostrum sit voluptas.,Inactivo
1852,M00001853,Lenguaje y Comunicación,Reprehenderit culpa veniam deleniti repellat recusandae aliquid.,Inactivo
1853,M00001854,Exploración y Comprensión del mundo natural y social,Fugiat quisquam quaerat molestiae facere.,Inactivo
1854,M00001855,Exploración y Comprensión del mundo natural y social,Veritatis nisi autem rerum.,Activo
1855,M00001856,Pensamiento Matemáico,Tempora a tempora maxime animi.,Activo
1856,M00001857,Educación Fisica,Quibusdam placeat minima blanditiis dolorem.,Inactivo
1857,M00001858,Lenguaje y Comunicación,Corporis aliquid neque fuga ullam consequuntur.,Activo
1858,M00001859,Lenguaje y Comunicación,Ducimus exercitationem ut exercitationem a.,Inactivo
1859,M00001860,Educación SocioEmocional,Eligendi fuga necessitatibus dicta iure hic.,Inactivo
1860,M00001861,Exploración y Comprensión del mundo natural y social,Illum earum tempore soluta ad aliquam.,Inactivo
