,IdAu,NumAu,EstadoAu
2536,Au00002537,B-2917,Mantenimiento
2537,Au00002538,D-9928,Mantenimiento
2538,Au00002539,Coliseo,Ocupado
2539,Au00002540,D-7029,Mantenimiento
2540,Au00002541,A-345,Mantenimiento
2541,Au00002542,A-5679,Ocupado
2542,Au00002543,A-667,Disponible
2543,Au00002544,C-6246,Disponible
2544,Au00002545,A-2134,Mantenimiento
2545,Au00002546,D-4261,Mantenimiento
2546,Au00002547,Salon Interactivo,Mantenimiento
2547,Au00002548,Salon Interactivo,Ocupado
2548,Au00002549,B-1983,Disponible
2549,Au00002550,Coliseo,Ocupado
2550,Au00002551,Patio,Mantenimiento
2551,Au00002552,Patio,Ocupado
2552,Au00002553,C-5968,Mantenimiento
2553,Au00002554,B-5914,Mantenimiento
2554,Au00002555,D-4719,Ocupado
2555,Au00002556,B-1641,Disponible
2556,Au00002557,A-1542,Ocupado
2557,Au00002558,Salon Interactivo,Ocupado
2558,Au00002559,B-7644,Mantenimiento
2559,Au00002560,A-862,Ocupado
2560,Au00002561,Coliseo,Ocupado
2561,Au00002562,Coliseo,Disponible
2562,Au00002563,C-9264,Ocupado
2563,Au00002564,A-5117,Ocupado
2564,Au00002565,A-2727,Ocupado
2565,Au00002566,C-6789,Mantenimiento
2566,Au00002567,C-1223,Disponible
2567,Au00002568,Patio,Disponible
2568,Au00002569,C-9189,Ocupado
2569,Au00002570,Salon Interactivo,Mantenimiento
2570,Au00002571,C-2329,Mantenimiento
2571,Au00002572,Patio,Mantenimiento
2572,Au00002573,D-8414,Mantenimiento
2573,Au00002574,Patio,Mantenimiento
2574,Au00002575,Coliseo,Mantenimiento
2575,Au00002576,Salon Interactivo,Disponible
2576,Au00002577,C-4869,Ocupado
2577,Au00002578,D-3261,Disponible
2578,Au00002579,Patio,Ocupado
2579,Au00002580,Salon Interactivo,Ocupado
2580,Au00002581,D-3651,Ocupado
2581,Au00002582,Coliseo,Ocupado
2582,Au00002583,D-6297,Mantenimiento
2583,Au00002584,D-8732,Disponible
2584,Au00002585,B-3353,Mantenimiento
2585,Au00002586,B-9020,Ocupado
2586,Au00002587,D-633,Mantenimiento
2587,Au00002588,Salon Interactivo,Disponible
2588,Au00002589,C-5355,Ocupado
2589,Au00002590,Coliseo,Disponible
2590,Au00002591,C-1319,Ocupado
2591,Au00002592,Patio,Disponible
2592,Au00002593,B-2611,Disponible
2593,Au00002594,C-7828,Mantenimiento
2594,Au00002595,Patio,Disponible
2595,Au00002596,Salon Interactivo,Ocupado
2596,Au00002597,Coliseo,Ocupado
2597,Au00002598,B-3124,Ocupado
2598,Au00002599,Salon Interactivo,Ocupado
2599,Au00002600,D-2940,Mantenimiento
2600,Au00002601,D-3337,Ocupado
2601,Au00002602,D-4290,Mantenimiento
2602,Au00002603,A-1423,Disponible
2603,Au00002604,D-4412,Mantenimiento
2604,Au00002605,D-849,Ocupado
2605,Au00002606,Patio,Disponible
2606,Au00002607,Coliseo,Disponible
2607,Au00002608,Salon Interactivo,Mantenimiento
2608,Au00002609,C-3779,Disponible
2609,Au00002610,C-9063,Disponible
2610,Au00002611,B-9940,Ocupado
2611,Au00002612,Coliseo,Mantenimiento
2612,Au00002613,D-4875,Disponible
2613,Au00002614,A-9422,Disponible
2614,Au00002615,A-1373,Mantenimiento
2615,Au00002616,D-1135,Ocupado
2616,Au00002617,Coliseo,Mantenimiento
2617,Au00002618,B-2025,Disponible
2618,Au00002619,Patio,Mantenimiento
2619,Au00002620,Salon Interactivo,Mantenimiento
2620,Au00002621,B-3203,Disponible
2621,Au00002622,C-6058,Mantenimiento
2622,Au00002623,Coliseo,Mantenimiento
2623,Au00002624,D-5707,Disponible
2624,Au00002625,A-1900,Ocupado
2625,Au00002626,Salon Interactivo,Ocupado
2626,Au00002627,B-8299,Ocupado
2627,Au00002628,A-8957,Ocupado
2628,Au00002629,Salon Interactivo,Ocupado
2629,Au00002630,B-5943,Mantenimiento
2630,Au00002631,A-6834,Disponible
2631,Au00002632,Coliseo,Disponible
2632,Au00002633,A-7512,Mantenimiento
2633,Au00002634,Salon Interactivo,Disponible
2634,Au00002635,Coliseo,Mantenimiento
2635,Au00002636,Coliseo,Disponible
2636,Au00002637,D-1518,Mantenimiento
2637,Au00002638,B-7475,Mantenimiento
2638,Au00002639,D-7371,Ocupado
2639,Au00002640,D-4011,Mantenimiento
2640,Au00002641,C-7008,Mantenimiento
2641,Au00002642,D-3793,Ocupado
2642,Au00002643,Coliseo,Ocupado
2643,Au00002644,B-1323,Ocupado
2644,Au00002645,C-2002,Disponible
2645,Au00002646,Coliseo,Disponible
2646,Au00002647,Coliseo,Mantenimiento
2647,Au00002648,Salon Interactivo,Mantenimiento
2648,Au00002649,C-2134,Disponible
2649,Au00002650,C-8099,Ocupado
2650,Au00002651,C-1214,Mantenimiento
2651,Au00002652,D-1180,Ocupado
2652,Au00002653,Coliseo,Disponible
2653,Au00002654,D-7101,Disponible
2654,Au00002655,Patio,Ocupado
2655,Au00002656,Coliseo,Disponible
2656,Au00002657,B-7703,Ocupado
2657,Au00002658,B-4274,Mantenimiento
2658,Au00002659,C-9416,Disponible
2659,Au00002660,Coliseo,Disponible
2660,Au00002661,Coliseo,Mantenimiento
2661,Au00002662,Coliseo,Disponible
2662,Au00002663,B-6677,Mantenimiento
2663,Au00002664,Coliseo,Disponible
2664,Au00002665,A-480,Disponible
2665,Au00002666,B-2184,Mantenimiento
2666,Au00002667,A-6181,Mantenimiento
2667,Au00002668,Coliseo,Ocupado
2668,Au00002669,A-2952,Disponible
2669,Au00002670,Salon Interactivo,Disponible
2670,Au00002671,Patio,Mantenimiento
2671,Au00002672,Coliseo,Mantenimiento
2672,Au00002673,B-3122,Mantenimiento
2673,Au00002674,B-8262,Disponible
2674,Au00002675,B-1126,Ocupado
2675,Au00002676,Patio,Ocupado
2676,Au00002677,Patio,Mantenimiento
2677,Au00002678,D-1198,Disponible
2678,Au00002679,D-9631,Disponible
2679,Au00002680,Salon Interactivo,Mantenimiento
2680,Au00002681,D-8735,Ocupado
2681,Au00002682,D-1770,Disponible
2682,Au00002683,D-9424,Disponible
2683,Au00002684,A-1341,Disponible
2684,Au00002685,D-5271,Mantenimiento
2685,Au00002686,D-1362,Mantenimiento
2686,Au00002687,Salon Interactivo,Ocupado
2687,Au00002688,C-4854,Mantenimiento
2688,Au00002689,B-556,Mantenimiento
2689,Au00002690,B-3483,Disponible
2690,Au00002691,D-4034,Mantenimiento
2691,Au00002692,Patio,Mantenimiento
2692,Au00002693,Coliseo,Disponible
2693,Au00002694,B-4352,Mantenimiento
2694,Au00002695,Patio,Mantenimiento
2695,Au00002696,C-4158,Disponible
2696,Au00002697,D-7723,Disponible
2697,Au00002698,A-5477,Disponible
2698,Au00002699,A-116,Ocupado
2699,Au00002700,Patio,Disponible
2700,Au00002701,Patio,Mantenimiento
2701,Au00002702,B-9383,Disponible
2702,Au00002703,B-3694,Mantenimiento
2703,Au00002704,Patio,Ocupado
2704,Au00002705,Patio,Mantenimiento
2705,Au00002706,D-3584,Disponible
2706,Au00002707,C-7204,Ocupado
2707,Au00002708,C-9166,Mantenimiento
2708,Au00002709,B-2367,Disponible
2709,Au00002710,Salon Interactivo,Mantenimiento
2710,Au00002711,B-5662,Mantenimiento
2711,Au00002712,Salon Interactivo,Mantenimiento
2712,Au00002713,Coliseo,Mantenimiento
2713,Au00002714,Coliseo,Ocupado
2714,Au00002715,Coliseo,Ocupado
2715,Au00002716,Patio,Disponible
2716,Au00002717,D-7507,Mantenimiento
2717,Au00002718,Salon Interactivo,Ocupado
2718,Au00002719,Coliseo,Disponible
2719,Au00002720,B-2026,Mantenimiento
2720,Au00002721,A-4569,Mantenimiento
2721,Au00002722,Salon Interactivo,Mantenimiento
2722,Au00002723,C-9751,Ocupado
2723,Au00002724,D-2818,Disponible
2724,Au00002725,C-8515,Disponible
2725,Au00002726,Coliseo,Ocupado
2726,Au00002727,Patio,Ocupado
2727,Au00002728,A-8972,Mantenimiento
2728,Au00002729,Patio,Ocupado
2729,Au00002730,B-7991,Disponible
2730,Au00002731,C-8904,Disponible
2731,Au00002732,B-2305,Disponible
2732,Au00002733,Coliseo,Disponible
2733,Au00002734,A-7724,Mantenimiento
2734,Au00002735,D-9418,Disponible
2735,Au00002736,Coliseo,Ocupado
2736,Au00002737,B-961,Mantenimiento
2737,Au00002738,D-5888,Ocupado
2738,Au00002739,Patio,Mantenimiento
2739,Au00002740,C-5026,Mantenimiento
2740,Au00002741,D-4771,Disponible
2741,Au00002742,C-7979,Disponible
2742,Au00002743,C-9614,Mantenimiento
2743,Au00002744,B-3142,Ocupado
2744,Au00002745,D-6550,Disponible
2745,Au00002746,C-3946,Disponible
2746,Au00002747,C-1864,Mantenimiento
2747,Au00002748,Salon Interactivo,Disponible
2748,Au00002749,A-2841,Ocupado
2749,Au00002750,A-451,Disponible
2750,Au00002751,B-9179,Ocupado
2751,Au00002752,Coliseo,Ocupado
2752,Au00002753,C-7546,Disponible
2753,Au00002754,D-6734,Disponible
2754,Au00002755,Coliseo,Mantenimiento
2755,Au00002756,Coliseo,Disponible
2756,Au00002757,B-2639,Mantenimiento
2757,Au00002758,B-4121,Disponible
2758,Au00002759,Salon Interactivo,Mantenimiento
2759,Au00002760,Salon Interactivo,Disponible
2760,Au00002761,C-5051,Ocupado
2761,Au00002762,Coliseo,Disponible
2762,Au00002763,D-7775,Disponible
2763,Au00002764,Coliseo,Mantenimiento
2764,Au00002765,Coliseo,Mantenimiento
2765,Au00002766,B-3012,Ocupado
2766,Au00002767,C-6466,Ocupado
2767,Au00002768,Coliseo,Ocupado
2768,Au00002769,A-3033,Ocupado
2769,Au00002770,D-7110,Disponible
2770,Au00002771,D-1096,Ocupado
2771,Au00002772,Salon Interactivo,Ocupado
2772,Au00002773,B-6363,Ocupado
2773,Au00002774,Salon Interactivo,Disponible
2774,Au00002775,Salon Interactivo,Mantenimiento
2775,Au00002776,A-8334,Ocupado
2776,Au00002777,Patio,Ocupado
2777,Au00002778,Coliseo,Ocupado
2778,Au00002779,Salon Interactivo,Disponible
2779,Au00002780,B-6756,Disponible
2780,Au00002781,Coliseo,Disponible
2781,Au00002782,C-3474,Mantenimiento
2782,Au00002783,Patio,Disponible
2783,Au00002784,Patio,Mantenimiento
2784,Au00002785,Coliseo,Disponible
2785,Au00002786,Coliseo,Disponible
2786,Au00002787,Coliseo,Ocupado
2787,Au00002788,Coliseo,Disponible
2788,Au00002789,A-3191,Ocupado
2789,Au00002790,A-8825,Mantenimiento
2790,Au00002791,D-7312,Disponible
2791,Au00002792,C-4245,Ocupado
2792,Au00002793,B-7038,Disponible
2793,Au00002794,Patio,Disponible
2794,Au00002795,C-6184,Mantenimiento
2795,Au00002796,D-8818,Disponible
2796,Au00002797,Coliseo,Disponible
2797,Au00002798,B-1662,Mantenimiento
2798,Au00002799,Salon Interactivo,Disponible
2799,Au00002800,A-9412,Ocupado
2800,Au00002801,Salon Interactivo,Ocupado
2801,Au00002802,C-9346,Ocupado
2802,Au00002803,C-1171,Disponible
2803,Au00002804,B-3826,Mantenimiento
2804,Au00002805,Salon Interactivo,Ocupado
2805,Au00002806,C-5573,Ocupado
2806,Au00002807,B-703,Mantenimiento
2807,Au00002808,B-1174,Ocupado
2808,Au00002809,C-4230,Mantenimiento
2809,Au00002810,Salon Interactivo,Ocupado
2810,Au00002811,A-4169,Disponible
2811,Au00002812,Salon Interactivo,Ocupado
2812,Au00002813,B-8096,Mantenimiento
2813,Au00002814,Patio,Disponible
2814,Au00002815,Salon Interactivo,Disponible
2815,Au00002816,C-6750,Disponible
2816,Au00002817,A-4376,Ocupado
2817,Au00002818,Patio,Mantenimiento
2818,Au00002819,C-1018,Disponible
2819,Au00002820,Salon Interactivo,Mantenimiento
2820,Au00002821,C-2416,Mantenimiento
2821,Au00002822,Salon Interactivo,Mantenimiento
2822,Au00002823,Salon Interactivo,Ocupado
2823,Au00002824,A-5451,Mantenimiento
2824,Au00002825,Coliseo,Disponible
2825,Au00002826,C-8302,Ocupado
2826,Au00002827,Salon Interactivo,Mantenimiento
2827,Au00002828,Coliseo,Ocupado
2828,Au00002829,D-2978,Disponible
2829,Au00002830,Salon Interactivo,Mantenimiento
2830,Au00002831,Salon Interactivo,Ocupado
2831,Au00002832,Salon Interactivo,Mantenimiento
2832,Au00002833,Patio,Disponible
2833,Au00002834,Patio,Disponible
2834,Au00002835,C-4954,Ocupado
2835,Au00002836,Patio,Disponible
2836,Au00002837,C-6792,Disponible
2837,Au00002838,Coliseo,Ocupado
2838,Au00002839,Salon Interactivo,Ocupado
2839,Au00002840,D-9911,Ocupado
2840,Au00002841,D-4247,Mantenimiento
2841,Au00002842,Coliseo,Mantenimiento
2842,Au00002843,Patio,Disponible
2843,Au00002844,C-3704,Disponible
2844,Au00002845,B-7836,Ocupado
2845,Au00002846,B-6892,Ocupado
2846,Au00002847,Salon Interactivo,Disponible
2847,Au00002848,A-5979,Disponible
2848,Au00002849,Patio,Disponible
2849,Au00002850,D-3656,Disponible
2850,Au00002851,A-5661,Ocupado
2851,Au00002852,Coliseo,Disponible
2852,Au00002853,Salon Interactivo,Mantenimiento
2853,Au00002854,C-903,Mantenimiento
2854,Au00002855,Coliseo,Disponible
2855,Au00002856,Salon Interactivo,Mantenimiento
2856,Au00002857,Coliseo,Ocupado
2857,Au00002858,Coliseo,Disponible
2858,Au00002859,Salon Interactivo,Ocupado
2859,Au00002860,Patio,Mantenimiento
2860,Au00002861,D-317,Ocupado
2861,Au00002862,B-7457,Ocupado
2862,Au00002863,D-539,Mantenimiento
2863,Au00002864,D-4243,Ocupado
2864,Au00002865,Salon Interactivo,Ocupado
2865,Au00002866,Patio,Ocupado
2866,Au00002867,D-7726,Disponible
2867,Au00002868,Salon Interactivo,Mantenimiento
2868,Au00002869,Patio,Disponible
2869,Au00002870,Patio,Disponible
2870,Au00002871,D-9055,Mantenimiento
2871,Au00002872,C-567,Disponible
2872,Au00002873,A-3837,Disponible
2873,Au00002874,C-6667,Disponible
2874,Au00002875,Coliseo,Ocupado
2875,Au00002876,Coliseo,Disponible
2876,Au00002877,Patio,Ocupado
2877,Au00002878,Salon Interactivo,Mantenimiento
2878,Au00002879,Patio,Mantenimiento
2879,Au00002880,D-6539,Mantenimiento
2880,Au00002881,B-1156,Disponible
2881,Au00002882,Coliseo,Mantenimiento
2882,Au00002883,C-595,Mantenimiento
2883,Au00002884,B-6931,Ocupado
2884,Au00002885,Patio,Mantenimiento
2885,Au00002886,Patio,Disponible
2886,Au00002887,Patio,Mantenimiento
2887,Au00002888,B-2701,Mantenimiento
2888,Au00002889,A-2104,Mantenimiento
2889,Au00002890,B-6731,Mantenimiento
2890,Au00002891,A-5673,Mantenimiento
2891,Au00002892,D-4613,Ocupado
2892,Au00002893,Coliseo,Disponible
2893,Au00002894,D-46,Ocupado
2894,Au00002895,A-727,Ocupado
2895,Au00002896,Coliseo,Ocupado
2896,Au00002897,B-134,Ocupado
2897,Au00002898,C-4997,Disponible
2898,Au00002899,A-4151,Mantenimiento
2899,Au00002900,Patio,Ocupado
2900,Au00002901,C-6187,Disponible
2901,Au00002902,Coliseo,Mantenimiento
2902,Au00002903,Coliseo,Ocupado
2903,Au00002904,B-4269,Ocupado
2904,Au00002905,C-2435,Ocupado
2905,Au00002906,D-6318,Mantenimiento
2906,Au00002907,Coliseo,Ocupado
2907,Au00002908,C-3781,Ocupado
2908,Au00002909,A-7779,Disponible
2909,Au00002910,B-6334,Disponible
2910,Au00002911,Coliseo,Disponible
2911,Au00002912,D-1388,Ocupado
2912,Au00002913,Coliseo,Ocupado
2913,Au00002914,Coliseo,Ocupado
2914,Au00002915,A-424,Ocupado
2915,Au00002916,D-6594,Mantenimiento
2916,Au00002917,Salon Interactivo,Ocupado
2917,Au00002918,C-8384,Mantenimiento
2918,Au00002919,Coliseo,Ocupado
2919,Au00002920,A-647,Disponible
2920,Au00002921,Coliseo,Mantenimiento
2921,Au00002922,Coliseo,Ocupado
2922,Au00002923,Salon Interactivo,Disponible
2923,Au00002924,Patio,Ocupado
2924,Au00002925,Coliseo,Mantenimiento
2925,Au00002926,B-6680,Mantenimiento
2926,Au00002927,A-1843,Mantenimiento
2927,Au00002928,Salon Interactivo,Ocupado
2928,Au00002929,Salon Interactivo,Mantenimiento
2929,Au00002930,B-5639,Mantenimiento
2930,Au00002931,Coliseo,Ocupado
2931,Au00002932,B-4742,Mantenimiento
2932,Au00002933,Patio,Ocupado
2933,Au00002934,Salon Interactivo,Ocupado
2934,Au00002935,B-7072,Mantenimiento
2935,Au00002936,B-3180,Disponible
2936,Au00002937,C-2728,Ocupado
2937,Au00002938,B-4736,Ocupado
2938,Au00002939,B-9157,Ocupado
2939,Au00002940,B-5842,Ocupado
2940,Au00002941,C-9060,Mantenimiento
2941,Au00002942,B-4123,Ocupado
2942,Au00002943,D-2802,Disponible
2943,Au00002944,Patio,Ocupado
2944,Au00002945,Coliseo,Disponible
2945,Au00002946,Salon Interactivo,Disponible
2946,Au00002947,C-440,Mantenimiento
2947,Au00002948,B-5630,Disponible
2948,Au00002949,D-8554,Mantenimiento
2949,Au00002950,C-4280,Disponible
2950,Au00002951,Patio,Ocupado
2951,Au00002952,A-5367,Disponible
2952,Au00002953,B-7268,Disponible
2953,Au00002954,A-3080,Disponible
2954,Au00002955,D-185,Ocupado
2955,Au00002956,Salon Interactivo,Disponible
2956,Au00002957,B-7662,Ocupado
2957,Au00002958,D-7276,Mantenimiento
2958,Au00002959,Patio,Mantenimiento
2959,Au00002960,Patio,Mantenimiento
2960,Au00002961,Salon Interactivo,Disponible
2961,Au00002962,Patio,Mantenimiento
2962,Au00002963,B-5807,Ocupado
2963,Au00002964,Coliseo,Disponible
2964,Au00002965,C-9679,Disponible
2965,Au00002966,Coliseo,Ocupado
2966,Au00002967,C-170,Mantenimiento
2967,Au00002968,D-1375,Mantenimiento
2968,Au00002969,C-4443,Ocupado
2969,Au00002970,A-4484,Disponible
2970,Au00002971,B-7144,Ocupado
2971,Au00002972,Coliseo,Disponible
2972,Au00002973,C-7446,Disponible
2973,Au00002974,Coliseo,Ocupado
2974,Au00002975,D-1754,Mantenimiento
2975,Au00002976,Salon Interactivo,Ocupado
2976,Au00002977,Coliseo,Mantenimiento
2977,Au00002978,D-8314,Disponible
2978,Au00002979,C-9967,Ocupado
2979,Au00002980,A-6555,Ocupado
2980,Au00002981,D-3588,Disponible
2981,Au00002982,C-5656,Disponible
2982,Au00002983,A-2429,Ocupado
2983,Au00002984,C-7984,Ocupado
2984,Au00002985,Salon Interactivo,Disponible
2985,Au00002986,B-6343,Ocupado
2986,Au00002987,A-833,Ocupado
2987,Au00002988,Salon Interactivo,Mantenimiento
2988,Au00002989,D-2458,Ocupado
2989,Au00002990,C-8223,Ocupado
2990,Au00002991,B-1216,Mantenimiento
2991,Au00002992,Patio,Disponible
2992,Au00002993,A-5209,Ocupado
2993,Au00002994,Salon Interactivo,Mantenimiento
2994,Au00002995,Coliseo,Mantenimiento
2995,Au00002996,Salon Interactivo,Disponible
2996,Au00002997,B-7318,Ocupado
2997,Au00002998,C-9591,Ocupado
2998,Au00002999,Coliseo,Mantenimiento
2999,Au00003000,Coliseo,Ocupado
3000,Au00003001,C-9859,Ocupado
3001,Au00003002,Salon Interactivo,Disponible
3002,Au00003003,C-8340,Mantenimiento
3003,Au00003004,D-5758,Disponible
3004,Au00003005,B-2102,Mantenimiento
3005,Au00003006,A-3337,Mantenimiento
3006,Au00003007,A-4032,Ocupado
3007,Au00003008,Coliseo,Mantenimiento
3008,Au00003009,D-3182,Disponible
3009,Au00003010,C-3316,Ocupado
3010,Au00003011,D-3659,Ocupado
3011,Au00003012,A-9195,Disponible
3012,Au00003013,Coliseo,Ocupado
3013,Au00003014,Coliseo,Ocupado
3014,Au00003015,A-2028,Ocupado
3015,Au00003016,Patio,Ocupado
3016,Au00003017,Salon Interactivo,Mantenimiento
3017,Au00003018,Coliseo,Mantenimiento
3018,Au00003019,A-4656,Disponible
3019,Au00003020,Patio,Mantenimiento
3020,Au00003021,A-281,Disponible
3021,Au00003022,A-520,Ocupado
3022,Au00003023,B-6106,Mantenimiento
3023,Au00003024,C-4381,Disponible
3024,Au00003025,Salon Interactivo,Ocupado
3025,Au00003026,Patio,Ocupado
3026,Au00003027,Salon Interactivo,Mantenimiento
3027,Au00003028,B-9096,Disponible
3028,Au00003029,A-7496,Mantenimiento
3029,Au00003030,A-5461,Disponible
3030,Au00003031,A-5018,Mantenimiento
3031,Au00003032,Patio,Disponible
3032,Au00003033,C-9503,Ocupado
3033,Au00003034,Salon Interactivo,Ocupado
3034,Au00003035,C-3550,Disponible
3035,Au00003036,A-2840,Ocupado
3036,Au00003037,Coliseo,Mantenimiento
3037,Au00003038,D-709,Mantenimiento
3038,Au00003039,Coliseo,Ocupado
3039,Au00003040,Salon Interactivo,Mantenimiento
3040,Au00003041,A-7252,Disponible
3041,Au00003042,Coliseo,Ocupado
3042,Au00003043,D-9060,Ocupado
3043,Au00003044,C-6274,Disponible
3044,Au00003045,Patio,Disponible
3045,Au00003046,C-8186,Mantenimiento
3046,Au00003047,A-5090,Ocupado
3047,Au00003048,Coliseo,Disponible
3048,Au00003049,A-4940,Disponible
3049,Au00003050,A-544,Ocupado
3050,Au00003051,Patio,Disponible
3051,Au00003052,A-5157,Disponible
3052,Au00003053,B-8456,Mantenimiento
3053,Au00003054,A-8259,Ocupado
3054,Au00003055,D-5113,Disponible
3055,Au00003056,Salon Interactivo,Mantenimiento
3056,Au00003057,Salon Interactivo,Mantenimiento
3057,Au00003058,A-699,Ocupado
3058,Au00003059,A-936,Ocupado
3059,Au00003060,D-5207,Mantenimiento
3060,Au00003061,B-2542,Disponible
3061,Au00003062,Salon Interactivo,Mantenimiento
3062,Au00003063,A-8771,Mantenimiento
3063,Au00003064,D-271,Disponible
3064,Au00003065,Patio,Ocupado
3065,Au00003066,B-8,Disponible
3066,Au00003067,C-5779,Mantenimiento
3067,Au00003068,Patio,Ocupado
3068,Au00003069,Salon Interactivo,Mantenimiento
3069,Au00003070,A-1244,Ocupado
3070,Au00003071,Patio,Mantenimiento
3071,Au00003072,Coliseo,Mantenimiento
3072,Au00003073,Salon Interactivo,Ocupado
3073,Au00003074,A-7868,Disponible
3074,Au00003075,Coliseo,Ocupado
3075,Au00003076,C-4625,Ocupado
3076,Au00003077,Patio,Ocupado
3077,Au00003078,D-8705,Disponible
3078,Au00003079,A-7639,Disponible
3079,Au00003080,Salon Interactivo,Disponible
3080,Au00003081,D-8120,Mantenimiento
3081,Au00003082,Coliseo,Disponible
3082,Au00003083,C-1969,Disponible
3083,Au00003084,C-3462,Mantenimiento
3084,Au00003085,Salon Interactivo,Disponible
3085,Au00003086,Patio,Mantenimiento
3086,Au00003087,Coliseo,Ocupado
3087,Au00003088,B-6809,Mantenimiento
3088,Au00003089,B-7352,Disponible
3089,Au00003090,Salon Interactivo,Ocupado
3090,Au00003091,Patio,Disponible
3091,Au00003092,D-6585,Mantenimiento
3092,Au00003093,Coliseo,Ocupado
3093,Au00003094,Coliseo,Ocupado
3094,Au00003095,C-5927,Disponible
3095,Au00003096,D-9123,Ocupado
3096,Au00003097,Salon Interactivo,Ocupado
3097,Au00003098,A-8213,Disponible
3098,Au00003099,Coliseo,Mantenimiento
3099,Au00003100,C-6564,Mantenimiento
3100,Au00003101,D-4262,Disponible
3101,Au00003102,Patio,Mantenimiento
3102,Au00003103,Salon Interactivo,Ocupado
3103,Au00003104,D-4120,Mantenimiento
3104,Au00003105,Patio,Ocupado
3105,Au00003106,Patio,Mantenimiento
3106,Au00003107,Salon Interactivo,Disponible
3107,Au00003108,A-9462,Mantenimiento
3108,Au00003109,Coliseo,Disponible
3109,Au00003110,C-7743,Mantenimiento
3110,Au00003111,A-1,Mantenimiento
3111,Au00003112,C-1624,Disponible
3112,Au00003113,Coliseo,Mantenimiento
3113,Au00003114,Patio,Mantenimiento
3114,Au00003115,Patio,Mantenimiento
3115,Au00003116,B-2695,Ocupado
3116,Au00003117,Patio,Disponible
3117,Au00003118,A-7536,Mantenimiento
3118,Au00003119,Patio,Ocupado
3119,Au00003120,A-8388,Ocupado
3120,Au00003121,B-4918,Ocupado
3121,Au00003122,D-3786,Disponible
3122,Au00003123,C-2351,Disponible
3123,Au00003124,D-3817,Mantenimiento
3124,Au00003125,D-1186,Disponible
3125,Au00003126,Salon Interactivo,Disponible
3126,Au00003127,A-267,Mantenimiento
3127,Au00003128,C-5099,Disponible
3128,Au00003129,D-3729,Mantenimiento
3129,Au00003130,Coliseo,Ocupado
3130,Au00003131,B-6917,Mantenimiento
3131,Au00003132,D-6108,Mantenimiento
3132,Au00003133,Salon Interactivo,Disponible
3133,Au00003134,Patio,Disponible
3134,Au00003135,Salon Interactivo,Disponible
3135,Au00003136,C-2628,Ocupado
3136,Au00003137,Coliseo,Disponible
3137,Au00003138,B-4682,Disponible
3138,Au00003139,C-614,Ocupado
3139,Au00003140,Salon Interactivo,Mantenimiento
3140,Au00003141,B-2315,Disponible
3141,Au00003142,Salon Interactivo,Mantenimiento
3142,Au00003143,A-750,Disponible
3143,Au00003144,Salon Interactivo,Mantenimiento
3144,Au00003145,D-9536,Ocupado
3145,Au00003146,A-9535,Ocupado
3146,Au00003147,Patio,Ocupado
3147,Au00003148,D-40,Mantenimiento
3148,Au00003149,Salon Interactivo,Disponible
3149,Au00003150,Salon Interactivo,Mantenimiento
3150,Au00003151,B-2282,Ocupado
3151,Au00003152,B-325,Mantenimiento
3152,Au00003153,B-2847,Mantenimiento
3153,Au00003154,Coliseo,Disponible
3154,Au00003155,Patio,Mantenimiento
3155,Au00003156,Salon Interactivo,Mantenimiento
3156,Au00003157,C-1014,Ocupado
3157,Au00003158,Salon Interactivo,Mantenimiento
3158,Au00003159,C-9754,Mantenimiento
3159,Au00003160,Salon Interactivo,Ocupado
3160,Au00003161,Coliseo,Ocupado
3161,Au00003162,Coliseo,Ocupado
3162,Au00003163,A-2021,Disponible
3163,Au00003164,Patio,Mantenimiento
3164,Au00003165,A-5127,Ocupado
3165,Au00003166,A-8798,Ocupado
3166,Au00003167,B-259,Mantenimiento
3167,Au00003168,Coliseo,Disponible
3168,Au00003169,Coliseo,Disponible
3169,Au00003170,B-8956,Disponible
3170,Au00003171,Salon Interactivo,Disponible
3171,Au00003172,B-5772,Ocupado
3172,Au00003173,Coliseo,Disponible
3173,Au00003174,Coliseo,Ocupado
3174,Au00003175,D-9397,Disponible
3175,Au00003176,Coliseo,Mantenimiento
3176,Au00003177,B-973,Mantenimiento
3177,Au00003178,B-5060,Disponible
3178,Au00003179,D-9876,Disponible
3179,Au00003180,Patio,Mantenimiento
3180,Au00003181,D-9783,Disponible
3181,Au00003182,C-8584,Ocupado
3182,Au00003183,Coliseo,Disponible
3183,Au00003184,C-9983,Mantenimiento
3184,Au00003185,Patio,Mantenimiento
3185,Au00003186,Coliseo,Disponible
3186,Au00003187,A-2333,Disponible
3187,Au00003188,Coliseo,Mantenimiento
3188,Au00003189,D-4358,Ocupado
3189,Au00003190,Salon Interactivo,Ocupado
3190,Au00003191,Patio,Ocupado
3191,Au00003192,A-5515,Ocupado
3192,Au00003193,Patio,Mantenimiento
3193,Au00003194,C-2424,Mantenimiento
3194,Au00003195,A-2397,Ocupado
3195,Au00003196,D-897,Disponible
3196,Au00003197,A-1678,Ocupado
3197,Au00003198,Coliseo,Mantenimiento
3198,Au00003199,A-8733,Ocupado
3199,Au00003200,A-9596,Disponible
3200,Au00003201,Salon Interactivo,Mantenimiento
3201,Au00003202,B-9829,Ocupado
3202,Au00003203,Patio,Disponible
3203,Au00003204,D-9952,Mantenimiento
3204,Au00003205,Patio,Mantenimiento
