,IdI,NombreI,TipoEduI,SostenimientoI,AreaI,RegimenI,ModalidadI,JornadaI,EstadoI
1710,I00001711,Unidad Educativa Alexis Rodríguez V,Especial,Fiscal,Rural,Costa,Presencial,Matutina,Activo
1711,I00001712,Unidad Educativa Antonio Londoño II,Ordinaria,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1712,I00001713,Unidad Educativa María Peña I,Artistica,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
1713,I00001714,Unidad Educativa Gloria Barragán I,Popular Permanente,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1714,I00001715,Unidad Educativa Kelly Ocampo VI,Popular Permanente,Particular,Urbano,Costa,Virtual,Matutina,Inactivo
1715,I00001716,Unidad Educativa Elvira Quiroga II,Popular Permanente,Fiscal,Urbano,Sierra,Presencial,Matutina,Inactivo
1716,I00001717,Unidad Educativa Estela Rojas III,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Vespertina,Inactivo
1717,I00001718,Unidad Educativa Miriam López IV,Popular Permanente,Fiscomisional,Urbano,Costa,Virtual,Matutina,Inactivo
1718,I00001719,Unidad Educativa Brayan Díaz I,Artistica,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
1719,I00001720,Unidad Educativa Mercedes Torres II,Especial,Fiscomisional,Rural,Sierra,Presencial,Matutina,Inactivo
1720,I00001721,Unidad Educativa Jesús Salamanca I,Ordinaria,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1721,I00001722,Unidad Educativa Tatiana Hernández I,Artistica,Fiscal,Urbano,Sierra,Virtual,Matutina,Activo
1722,I00001723,Unidad Educativa Magaly Correa IV,Ordinaria,Fiscal,Urbano,Costa,Presencial,Vespertina,Inactivo
1723,I00001724,Unidad Educativa Andrés Ramírez V,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Vespertina,Activo
1724,I00001725,Unidad Educativa Luz López V,Especial,Particular,Urbano,Sierra,Presencial,Matutina,Activo
1725,I00001726,Unidad Educativa Pablo Rangel VI,Artistica,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1726,I00001727,Unidad Educativa Raúl López III,Popular Permanente,Municipal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
1727,I00001728,Unidad Educativa Gabriela Torres V,Ordinaria,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
1728,I00001729,Unidad Educativa Leonardo Aguirre I,Ordinaria,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Vespertina,Activo
1729,I00001730,Unidad Educativa Manuel Obando III,Ordinaria,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
1730,I00001731,Unidad Educativa César Bolaños IV,Especial,Municipal,Urbano,Sierra,Presencial,Matutina,Inactivo
1731,I00001732,Unidad Educativa Andrés Duque III,Ordinaria,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
1732,I00001733,Unidad Educativa Marina Ávila I,Especial,Municipal,Rural,Costa,Presencial,Matutina,Activo
1733,I00001734,Unidad Educativa Fredy Silva I,Especial,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
1734,I00001735,Unidad Educativa Jairo Naranjo III,Artistica,Particular,Urbano,Costa,Virtual,Matutina,Inactivo
1735,I00001736,Unidad Educativa Elkin Vásquez III,Ordinaria,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1736,I00001737,Unidad Educativa Luis Fernández I,Popular Permanente,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1737,I00001738,Unidad Educativa Junior Mejía VI,Especial,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1738,I00001739,Unidad Educativa Francisco Castillo I,Artistica,Municipal,Urbano,Costa,Virtual,Matutina,Activo
1739,I00001740,Unidad Educativa Iván Gamboa III,Ordinaria,Particular,Urbano,Sierra,Virtual,Matutina,Activo
1740,I00001741,Unidad Educativa Luz García IV,Popular Permanente,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Inactivo
1741,I00001742,Unidad Educativa Inés Rubio II,Especial,Fiscal,Rural,Sierra,Virtual,Vespertina,Inactivo
1742,I00001743,Unidad Educativa Jhon Pérez III,Artistica,Particular,Rural,Costa,Presencial,Matutina,Inactivo
1743,I00001744,Unidad Educativa Martha Giraldo II,Ordinaria,Fiscal,Rural,Sierra,Virtual,Matutina,Activo
1744,I00001745,Unidad Educativa María Cabrera V,Artistica,Particular,Rural,Costa,Semipresencial,Matutina,Inactivo
1745,I00001746,Unidad Educativa Marina González V,Especial,Municipal,Urbano,Costa,Semipresencial,Vespertina,Inactivo
1746,I00001747,Unidad Educativa Jesús Giraldo IV,Especial,Municipal,Urbano,Costa,Presencial,Matutina,Activo
1747,I00001748,Unidad Educativa Susana López,Artistica,Municipal,Rural,Sierra,Presencial,Matutina,Inactivo
1748,I00001749,Unidad Educativa Nubia Ruiz IV,Popular Permanente,Particular,Urbano,Costa,Presencial,Matutina,Activo
1749,I00001750,Unidad Educativa Alexander Pabón VI,Artistica,Municipal,Rural,Costa,Semipresencial,Vespertina,Inactivo
1750,I00001751,Unidad Educativa Edith Rodríguez II,Especial,Fiscomisional,Rural,Costa,Presencial,Matutina,Inactivo
1751,I00001752,Unidad Educativa Nelson Pérez III,Ordinaria,Fiscomisional,Rural,Costa,Virtual,Matutina,Activo
1752,I00001753,Unidad Educativa Fanny Duarte IV,Artistica,Municipal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1753,I00001754,Unidad Educativa Lucía Andrade V,Artistica,Particular,Rural,Sierra,Presencial,Vespertina,Inactivo
1754,I00001755,Unidad Educativa Camilo Sánchez IV,Ordinaria,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
1755,I00001756,Unidad Educativa Mercedes Acosta IV,Artistica,Fiscal,Urbano,Sierra,Virtual,Matutina,Activo
1756,I00001757,Unidad Educativa Andrea Montenegro I,Artistica,Fiscomisional,Urbano,Costa,Presencial,Vespertina,Activo
1757,I00001758,Unidad Educativa José Zapata III,Artistica,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Inactivo
1758,I00001759,Unidad Educativa William Caicedo V,Popular Permanente,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Inactivo
1759,I00001760,Unidad Educativa Leidy Rangel VI,Artistica,Fiscomisional,Urbano,Costa,Virtual,Matutina,Activo
1760,I00001761,Unidad Educativa Dary Maldonado V,Especial,Fiscal,Urbano,Costa,Presencial,Matutina,Inactivo
1761,I00001762,Unidad Educativa Franco Restrepo VI,Especial,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
1762,I00001763,Unidad Educativa Eliecer Martínez,Artistica,Municipal,Rural,Sierra,Semipresencial,Vespertina,Inactivo
1763,I00001764,Unidad Educativa Ernesto Álvarez V,Popular Permanente,Municipal,Rural,Costa,Presencial,Vespertina,Inactivo
1764,I00001765,Unidad Educativa Jimena Vásquez VI,Especial,Particular,Urbano,Costa,Presencial,Matutina,Activo
1765,I00001766,Unidad Educativa Carolina Restrepo IV,Especial,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
1766,I00001767,Unidad Educativa Lizeth González VI,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
1767,I00001768,Unidad Educativa Cecilia Torres V,Artistica,Municipal,Rural,Sierra,Presencial,Matutina,Inactivo
1768,I00001769,Unidad Educativa Felipe Ortega V,Artistica,Particular,Rural,Costa,Presencial,Matutina,Inactivo
1769,I00001770,Unidad Educativa Andrés Pérez IV,Ordinaria,Municipal,Rural,Costa,Presencial,Matutina,Activo
1770,I00001771,Unidad Educativa Elkin Restrepo V,Artistica,Particular,Urbano,Costa,Virtual,Matutina,Inactivo
1771,I00001772,Unidad Educativa Martha Daza III,Especial,Municipal,Urbano,Costa,Semipresencial,Matutina,Activo
1772,I00001773,Unidad Educativa Patricia Serna I,Popular Permanente,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
1773,I00001774,Unidad Educativa Manuel Ardila IV,Popular Permanente,Fiscomisional,Urbano,Sierra,Virtual,Matutina,Activo
1774,I00001775,Unidad Educativa Uriel Burgos II,Artistica,Municipal,Rural,Costa,Semipresencial,Matutina,Inactivo
1775,I00001776,Unidad Educativa Marlon Bautista V,Ordinaria,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Activo
1776,I00001777,Unidad Educativa Alejandra Valencia III,Popular Permanente,Fiscomisional,Rural,Sierra,Virtual,Matutina,Inactivo
1777,I00001778,Unidad Educativa Ángela Londoño III,Popular Permanente,Particular,Urbano,Costa,Virtual,Matutina,Activo
1778,I00001779,Unidad Educativa Roberto Puentes,Ordinaria,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1779,I00001780,Unidad Educativa Rafael Pacheco II,Especial,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1780,I00001781,Unidad Educativa Francisco Hernández II,Especial,Fiscal,Urbano,Sierra,Presencial,Vespertina,Activo
1781,I00001782,Unidad Educativa Alfredo Barrera I,Especial,Fiscomisional,Rural,Sierra,Virtual,Matutina,Inactivo
1782,I00001783,Unidad Educativa Marcela Carmona I,Artistica,Municipal,Rural,Sierra,Presencial,Matutina,Activo
1783,I00001784,Unidad Educativa Deisy Forero IV,Especial,Fiscal,Rural,Costa,Virtual,Matutina,Activo
1784,I00001785,Unidad Educativa Mayra Gil I,Ordinaria,Fiscomisional,Rural,Costa,Virtual,Vespertina,Activo
1785,I00001786,Unidad Educativa Carlos Rodríguez VI,Popular Permanente,Municipal,Urbano,Costa,Presencial,Matutina,Inactivo
1786,I00001787,Unidad Educativa Ángela Solano,Artistica,Municipal,Urbano,Costa,Semipresencial,Matutina,Activo
1787,I00001788,Unidad Educativa Gloria Bedoya III,Popular Permanente,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1788,I00001789,Unidad Educativa Mario Muñoz IV,Especial,Fiscal,Rural,Costa,Presencial,Matutina,Activo
1789,I00001790,Unidad Educativa Cristian Ortega V,Especial,Fiscal,Urbano,Costa,Presencial,Matutina,Inactivo
1790,I00001791,Unidad Educativa Cecilia Rico V,Especial,Municipal,Rural,Costa,Presencial,Vespertina,Inactivo
1791,I00001792,Unidad Educativa Dayana Mesa III,Ordinaria,Fiscal,Urbano,Costa,Semipresencial,Matutina,Inactivo
1792,I00001793,Unidad Educativa Isabel Álvarez III,Especial,Fiscomisional,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1793,I00001794,Unidad Educativa Gloria Reyes,Artistica,Fiscal,Urbano,Costa,Virtual,Vespertina,Activo
1794,I00001795,Unidad Educativa Alix Restrepo III,Especial,Particular,Rural,Sierra,Presencial,Vespertina,Activo
1795,I00001796,Unidad Educativa Norbey Morales IV,Especial,Particular,Rural,Costa,Presencial,Matutina,Activo
1796,I00001797,Unidad Educativa Luz Pérez IV,Artistica,Particular,Rural,Sierra,Virtual,Vespertina,Inactivo
1797,I00001798,Unidad Educativa Stiven Fuentes III,Especial,Fiscal,Urbano,Costa,Virtual,Vespertina,Inactivo
1798,I00001799,Unidad Educativa Isaac León II,Artistica,Particular,Rural,Sierra,Semipresencial,Vespertina,Inactivo
1799,I00001800,Unidad Educativa Diego Escobar I,Especial,Fiscal,Urbano,Sierra,Presencial,Matutina,Activo
1800,I00001801,Unidad Educativa Fredy Ospina II,Popular Permanente,Municipal,Urbano,Costa,Virtual,Matutina,Inactivo
1801,I00001802,Unidad Educativa Ruby Acevedo V,Especial,Fiscomisional,Urbano,Costa,Presencial,Matutina,Inactivo
1802,I00001803,Unidad Educativa Ana Galindo I,Popular Permanente,Particular,Urbano,Sierra,Presencial,Matutina,Activo
1803,I00001804,Unidad Educativa Claudia Arrieta IV,Ordinaria,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Inactivo
1804,I00001805,Unidad Educativa Andrea Rojas II,Ordinaria,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1805,I00001806,Unidad Educativa David Quiroga VI,Especial,Particular,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1806,I00001807,Unidad Educativa Humberto Cuéllar VI,Especial,Particular,Rural,Costa,Virtual,Vespertina,Activo
1807,I00001808,Unidad Educativa Luz Serrano VI,Especial,Fiscal,Rural,Sierra,Presencial,Matutina,Inactivo
1808,I00001809,Unidad Educativa Martha Loaiza IV,Artistica,Particular,Urbano,Sierra,Presencial,Matutina,Inactivo
1809,I00001810,Unidad Educativa Pablo Gómez IV,Artistica,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1810,I00001811,Unidad Educativa Armando Carrillo I,Ordinaria,Fiscal,Urbano,Sierra,Presencial,Matutina,Activo
1811,I00001812,Unidad Educativa Antonio González IV,Popular Permanente,Municipal,Urbano,Costa,Virtual,Matutina,Inactivo
1812,I00001813,Unidad Educativa Gabriel Hurtado I,Especial,Particular,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1813,I00001814,Unidad Educativa José Perea IV,Artistica,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1814,I00001815,Unidad Educativa Dora Ospina IV,Especial,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Inactivo
1815,I00001816,Unidad Educativa Óscar Monroy II,Ordinaria,Municipal,Urbano,Costa,Presencial,Vespertina,Inactivo
1816,I00001817,Unidad Educativa Patricia Bernal VI,Popular Permanente,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Activo
1817,I00001818,Unidad Educativa Richard Pinto I,Ordinaria,Fiscomisional,Rural,Sierra,Presencial,Matutina,Inactivo
1818,I00001819,Unidad Educativa Isabel Luna IV,Ordinaria,Particular,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1819,I00001820,Unidad Educativa Rafael Cárdenas,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Inactivo
1820,I00001821,Unidad Educativa Camilo Becerra VI,Popular Permanente,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1821,I00001822,Unidad Educativa Dora Gutiérrez,Artistica,Municipal,Urbano,Costa,Presencial y SemiPresencial,Vespertina,Inactivo
1822,I00001823,Unidad Educativa Pedro Mejía II,Artistica,Particular,Rural,Costa,Presencial,Matutina,Activo
1823,I00001824,Unidad Educativa Valentina Bustamante I,Artistica,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
1824,I00001825,Unidad Educativa José Rodríguez I,Especial,Municipal,Urbano,Costa,Presencial,Matutina,Inactivo
1825,I00001826,Unidad Educativa Marcela Gómez,Artistica,Municipal,Urbano,Costa,Presencial,Matutina,Inactivo
1826,I00001827,Unidad Educativa Diana Pinto V,Ordinaria,Fiscal,Urbano,Costa,Virtual,Vespertina,Activo
1827,I00001828,Unidad Educativa Nelson Castaño,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Inactivo
1828,I00001829,Unidad Educativa Wilmer Jiménez V,Ordinaria,Particular,Rural,Costa,Semipresencial,Vespertina,Inactivo
1829,I00001830,Unidad Educativa Erika Carvajal III,Especial,Fiscomisional,Rural,Costa,Presencial,Matutina,Inactivo
1830,I00001831,Unidad Educativa Diana Pérez V,Popular Permanente,Particular,Urbano,Costa,Semipresencial,Matutina,Activo
1831,I00001832,Unidad Educativa Alexander López VI,Popular Permanente,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
1832,I00001833,Unidad Educativa Juan Ospina V,Especial,Municipal,Urbano,Costa,Presencial,Matutina,Activo
1833,I00001834,Unidad Educativa Alberto Ramos II,Artistica,Municipal,Rural,Sierra,Semipresencial,Matutina,Activo
1834,I00001835,Unidad Educativa Miguel Moreno,Popular Permanente,Municipal,Urbano,Costa,Semipresencial,Vespertina,Inactivo
1835,I00001836,Unidad Educativa Fernanda Herrera,Popular Permanente,Municipal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
1836,I00001837,Unidad Educativa Esther Monsalve IV,Especial,Municipal,Rural,Sierra,Virtual,Vespertina,Activo
1837,I00001838,Unidad Educativa Juan Soto IV,Ordinaria,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
1838,I00001839,Unidad Educativa Alba García V,Artistica,Municipal,Urbano,Costa,Semipresencial,Matutina,Activo
1839,I00001840,Unidad Educativa Ingrid Gómez IV,Ordinaria,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1840,I00001841,Unidad Educativa Johan Restrepo III,Artistica,Particular,Rural,Costa,Presencial,Matutina,Activo
1841,I00001842,Unidad Educativa Diana Velásquez VI,Artistica,Fiscal,Rural,Costa,Presencial,Matutina,Inactivo
1842,I00001843,Unidad Educativa Danilo Díaz II,Especial,Fiscomisional,Urbano,Sierra,Presencial,Vespertina,Inactivo
1843,I00001844,Unidad Educativa Hilda Jiménez VI,Ordinaria,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1844,I00001845,Unidad Educativa María Mejía V,Artistica,Fiscomisional,Urbano,Costa,Virtual,Vespertina,Inactivo
1845,I00001846,Unidad Educativa Jaime Zapata,Artistica,Municipal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1846,I00001847,Unidad Educativa Adriana Ruiz,Artistica,Fiscomisional,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1847,I00001848,Unidad Educativa David Mena IV,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
1848,I00001849,Unidad Educativa Ana Quintero I,Especial,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
1849,I00001850,Unidad Educativa Valentina Castillo IV,Artistica,Fiscal,Rural,Costa,Semipresencial,Matutina,Inactivo
1850,I00001851,Unidad Educativa Hilda Bermúdez VI,Popular Permanente,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1851,I00001852,Unidad Educativa Fernando Molano V,Popular Permanente,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
1852,I00001853,Unidad Educativa Alexander García I,Artistica,Municipal,Urbano,Costa,Semipresencial,Matutina,Activo
1853,I00001854,Unidad Educativa Liseth Ortega IV,Ordinaria,Fiscomisional,Urbano,Sierra,Semipresencial,Matutina,Activo
1854,I00001855,Unidad Educativa Arley Córdoba II,Especial,Particular,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1855,I00001856,Unidad Educativa Emilce Londoño VI,Artistica,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
1856,I00001857,Unidad Educativa Ferney Gómez III,Popular Permanente,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1857,I00001858,Unidad Educativa José Contreras III,Popular Permanente,Municipal,Urbano,Costa,Presencial,Matutina,Activo
1858,I00001859,Unidad Educativa Luz Ortiz IV,Popular Permanente,Fiscal,Rural,Costa,Semipresencial,Matutina,Activo
1859,I00001860,Unidad Educativa Luz Sánchez V,Especial,Municipal,Rural,Sierra,Presencial,Vespertina,Inactivo
1860,I00001861,Unidad Educativa Andrés Morales V,Especial,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1861,I00001862,Unidad Educativa Gustavo García IV,Especial,Municipal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1862,I00001863,Unidad Educativa Marcela Bonilla I,Popular Permanente,Municipal,Rural,Costa,Presencial,Matutina,Inactivo
1863,I00001864,Unidad Educativa Ángel Barrios III,Popular Permanente,Fiscal,Urbano,Sierra,Virtual,Matutina,Activo
1864,I00001865,Unidad Educativa Esteban Benítez IV,Popular Permanente,Particular,Rural,Costa,Semipresencial,Matutina,Activo
1865,I00001866,Unidad Educativa Lucía Pérez I,Artistica,Municipal,Urbano,Sierra,Presencial,Matutina,Inactivo
1866,I00001867,Unidad Educativa Jesús Sarmiento II,Especial,Fiscomisional,Rural,Sierra,Semipresencial,Matutina,Activo
1867,I00001868,Unidad Educativa Andrés Gutiérrez VI,Ordinaria,Particular,Urbano,Costa,Presencial,Matutina,Activo
1868,I00001869,Unidad Educativa Raquel Caballero VI,Especial,Municipal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1869,I00001870,Unidad Educativa Andrés Salazar V,Popular Permanente,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1870,I00001871,Unidad Educativa Felipe Rodríguez II,Especial,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Vespertina,Inactivo
1871,I00001872,Unidad Educativa Víctor Gómez III,Ordinaria,Fiscomisional,Urbano,Costa,Presencial,Matutina,Activo
1872,I00001873,Unidad Educativa John López I,Especial,Municipal,Urbano,Costa,Semipresencial,Vespertina,Inactivo
1873,I00001874,Unidad Educativa María Rojas IV,Popular Permanente,Municipal,Urbano,Costa,Semipresencial,Matutina,Activo
1874,I00001875,Unidad Educativa Carlos Mora IV,Popular Permanente,Particular,Rural,Costa,Presencial,Vespertina,Inactivo
1875,I00001876,Unidad Educativa Esther Vanegas I,Artistica,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
1876,I00001877,Unidad Educativa María Salas,Popular Permanente,Particular,Urbano,Sierra,Presencial,Vespertina,Inactivo
1877,I00001878,Unidad Educativa Alfonso Pérez IV,Ordinaria,Municipal,Rural,Costa,Presencial,Matutina,Activo
1878,I00001879,Unidad Educativa Yéssica Álvarez II,Artistica,Fiscal,Rural,Sierra,Semipresencial,Matutina,Activo
1879,I00001880,Unidad Educativa Didier Guzmán III,Popular Permanente,Particular,Urbano,Costa,Virtual,Vespertina,Inactivo
1880,I00001881,Unidad Educativa Alberto Sánchez I,Popular Permanente,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Inactivo
1881,I00001882,Unidad Educativa Antonio Giraldo III,Artistica,Fiscomisional,Urbano,Sierra,Semipresencial,Matutina,Inactivo
1882,I00001883,Unidad Educativa Claudia Vargas,Ordinaria,Fiscal,Urbano,Costa,Presencial,Matutina,Activo
1883,I00001884,Unidad Educativa Martha Toro VI,Artistica,Municipal,Urbano,Costa,Presencial,Matutina,Activo
1884,I00001885,Unidad Educativa David Camargo II,Popular Permanente,Municipal,Urbano,Sierra,Virtual,Vespertina,Inactivo
1885,I00001886,Unidad Educativa María Caro VI,Popular Permanente,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1886,I00001887,Unidad Educativa Arturo Ortiz III,Ordinaria,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
1887,I00001888,Unidad Educativa Libardo Caicedo I,Popular Permanente,Particular,Rural,Costa,Presencial,Matutina,Activo
1888,I00001889,Unidad Educativa Carolina Ortiz III,Artistica,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1889,I00001890,Unidad Educativa Aurora Rodríguez III,Especial,Fiscal,Rural,Costa,Presencial,Matutina,Activo
1890,I00001891,Unidad Educativa María Angulo I,Especial,Particular,Urbano,Sierra,Semipresencial,Vespertina,Inactivo
1891,I00001892,Unidad Educativa Dayana Torres I,Ordinaria,Particular,Rural,Costa,Presencial,Matutina,Activo
1892,I00001893,Unidad Educativa Josefina Ochoa I,Ordinaria,Particular,Urbano,Costa,Presencial,Matutina,Activo
1893,I00001894,Unidad Educativa Fernando Hurtado II,Especial,Municipal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
1894,I00001895,Unidad Educativa Liliana Pardo IV,Especial,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
1895,I00001896,Unidad Educativa Andrés Hurtado V,Popular Permanente,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
1896,I00001897,Unidad Educativa Carlos Carvajal V,Especial,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1897,I00001898,Unidad Educativa Lilia Camargo,Especial,Municipal,Urbano,Sierra,Presencial,Matutina,Activo
1898,I00001899,Unidad Educativa Ingrid Monsalve IV,Artistica,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
1899,I00001900,Unidad Educativa Fernando Medina III,Artistica,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
1900,I00001901,Unidad Educativa Enrique Castaño V,Popular Permanente,Particular,Urbano,Sierra,Presencial,Vespertina,Inactivo
1901,I00001902,Unidad Educativa Pedro Saavedra,Popular Permanente,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1902,I00001903,Unidad Educativa Antonio Barrios III,Especial,Particular,Urbano,Costa,Semipresencial,Matutina,Activo
1903,I00001904,Unidad Educativa Josefina Sánchez V,Especial,Fiscal,Urbano,Costa,Semipresencial,Vespertina,Activo
1904,I00001905,Unidad Educativa Jesús Cerón VI,Especial,Fiscal,Rural,Costa,Semipresencial,Matutina,Activo
1905,I00001906,Unidad Educativa Juan Santos IV,Popular Permanente,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1906,I00001907,Unidad Educativa Arturo Chaparro,Artistica,Municipal,Rural,Sierra,Virtual,Matutina,Inactivo
1907,I00001908,Unidad Educativa Enrique Castaño IV,Artistica,Fiscal,Urbano,Costa,Presencial,Matutina,Activo
1908,I00001909,Unidad Educativa Andrés Guerrero IV,Especial,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1909,I00001910,Unidad Educativa Inés Galvis,Ordinaria,Fiscal,Urbano,Costa,Presencial,Vespertina,Activo
1910,I00001911,Unidad Educativa Astrid Palacios V,Artistica,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1911,I00001912,Unidad Educativa Juan García II,Especial,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
1912,I00001913,Unidad Educativa Emiro Pacheco,Especial,Particular,Urbano,Costa,Virtual,Matutina,Activo
1913,I00001914,Unidad Educativa Margarita Bautista VI,Especial,Particular,Rural,Sierra,Presencial,Matutina,Inactivo
1914,I00001915,Unidad Educativa Ana Mosquera V,Ordinaria,Particular,Rural,Sierra,Presencial,Matutina,Activo
1915,I00001916,Unidad Educativa James Rivas III,Ordinaria,Fiscomisional,Urbano,Sierra,Virtual,Matutina,Inactivo
1916,I00001917,Unidad Educativa Carmen Monsalve VI,Ordinaria,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
1917,I00001918,Unidad Educativa Lina Ramírez V,Popular Permanente,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
1918,I00001919,Unidad Educativa Antonio Rentería IV,Artistica,Fiscal,Urbano,Costa,Semipresencial,Matutina,Activo
1919,I00001920,Unidad Educativa Javier Morales III,Popular Permanente,Particular,Rural,Sierra,Semipresencial,Matutina,Activo
1920,I00001921,Unidad Educativa Daniel Riascos II,Ordinaria,Fiscomisional,Rural,Costa,Presencial,Vespertina,Activo
1921,I00001922,Unidad Educativa Paola Muñoz IV,Especial,Fiscal,Rural,Sierra,Presencial,Matutina,Inactivo
1922,I00001923,Unidad Educativa Lucy Hernández III,Artistica,Fiscal,Urbano,Costa,Virtual,Matutina,Inactivo
1923,I00001924,Unidad Educativa Víctor Acosta III,Ordinaria,Particular,Urbano,Sierra,Virtual,Matutina,Activo
1924,I00001925,Unidad Educativa Carolina Niño I,Especial,Fiscal,Urbano,Costa,Virtual,Matutina,Inactivo
1925,I00001926,Unidad Educativa Enrique Pinto II,Especial,Particular,Urbano,Sierra,Presencial,Matutina,Activo
1926,I00001927,Unidad Educativa José Mosquera VI,Especial,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
1927,I00001928,Unidad Educativa Inés Ramírez I,Ordinaria,Municipal,Urbano,Costa,Presencial,Matutina,Inactivo
